smiles,redox_potential
NC=O,6.12 
CN(C)C=O,4.93 
CN(C)C(C)=O,4.74 
CNC(C)=O,5.32 
CC(N)=O,6.00 
CC(N)=S,4.57 
CC(C)C(N)=O,5.95 
CCCC(N)=O,5.91 
NC(N)=O,5.50 
CCC(N)=O,5.49 
CN(C)C(F)=O,5.38 
CNC(=O)CF,5.42 
CN(CF)C=O,5.46 
CCNC=O,5.36 
NC(=O)C#N,6.77 
NNC=O,4.19 
O=CNC#N,6.48 
COC(N)=O,5.98 
NC(F)=O,6.75 
CNC=O,5.39 
NC(=O)CCF,5.70 
CN(C)C(=O)CF,4.93 
CNC(Cl)=O,5.93 
NC(Cl)=O,6.67 
NC(=O)CF,6.24 
ClCNC=O,5.93 
CC(=O)NCl,5.67 
NC(=O)CCl,5.89 
CONC=O,4.91 
NC(=O)C(F)(F)F,6.68 
NC(O)=O,6.25 
CCN(CC)C(C)=O,4.73 
CCC(=O)N(C)C,4.73 
CN(C)C(=O)c1ccccc1,4.54 
CCCC(=O)N(C)C,4.66 
COCC(N)=O,5.80 
CN(C)C(=O)C(F)(F)F,5.49 
CC#N,7.52 
CCC#N,7.14 
CCCC#N,7.90 
CCCCC#N,6.57 
N#CCc1ccccc1,5.18 
COC(C)C#N,5.93 
O=CCC#N,6.27 
CC(=O)CC#N,6.02 
CCOC(=O)CC#N,6.56 
FCC#N,7.78 
NCC#N,4.95 
N#CCC#N,7.75 
COCC#N,5.98 
COCCC#N,5.73 
N#CCCCC#N,6.9 
N#CCCCCC#N,6.92 
N#CCCCCCC#N,9.50 
N#CCCCCCCC#N,9.63 
N#CCCCCCCCC#N,9.33 
N#CCCCCCCCCC#N,8.75 
OCC#N,6.76 
ClCC#N,7.31 
FC(F)(F)CC#N,8.11 
OC(=O)CC#N,6.94 
CC(CCC#N)C#N,6.98 
CC(C)(C)C#N,6.58 
CCC(C)(C)C#N,6.09 
COCCOC,4.93 
C1CCOC1,5.20 
CC1CCCO1,5.12 
COc1ccccc1,4.48 
C1COCO1,5.36 
CCOC(C)=O,6.13 
CCOC(=O)CF,6.45 
CCOC(=O)C(F)F,4.53 
COC(C)=O,6.26 
COCC(=O)OC,5.55 
COC(=O)CC#N,6.66 
COCC(C)OC(C)=O,5.30 
CCC(=O)OCCF,6.13 
CC(=O)OCCF,6.37 
CCOC(=O)C(C)F,6.21 
CCCC(=O)OC,6.02 
CCCC(=O)OCC,5.93 
O=C1CCCO1,6.12 
FC1CCOC1=O,6.23 
O=C1CCCCO1,5.90 
COCOC,5.40 
CCOCCOC,4.92 
COCCOCCF,5.07 
COCCOCC(F)F,5.19 
COCCOCC(F)(F)F,5.32 
CCOCCOCC,4.87 
CCOCCOCCF,5.03 
CCOCCOCC(F)F,5.18 
CCOCCOCC(F)(F)F,5.29 
CC1COCO1,5.29 
CC1OCCO1,5.35 
COCCOCCOC,4.92 
COC(=O)CCC#N,6.39 
COC(=O)C(C)(C)C#N,6.36 
CCOC(=O)C(C)(C)C#N,6.20 
CCOCC,5.37 
CC(C)OC(C)C,5.12 
COC1CCCC1,5.07 
C1CCOCC1,5.10 
COCCOCCOCCOC,5.21 
CC[N+]([O-])=O,6.40 
CCCOC(C)=O,6.15 
CC(C)OC(C)=O,6.06 
CCCCOC(C)=O,6.06 
CC(C)COC(C)=O,6.10 
CCC(=O)OC,6.17 
COC=O,6.65 
CCOC=O,6.51 
CCCOC=O,6.44 
CC(C)OC=O,6.34 
CCCCOC=O,6.28 
CC(C)COC=O,6.33 
COC(=O)CCF,6.29 
CCC(=O)OCF,6.40 
COC(=O)CC(F)F,6.55 
COC(=O)CC(F)(F)F,6.75 
CCOC(=O)CC(F)(F)F,6.60 
FC(F)(F)COCC(F)(F)F,6.80 
FC(F)C(F)(F)COC(F)(F)C(F)F,7.31 
CCOC(F)(F)C(F)F,6.92 
FC(F)C(F)(F)C(OC(C(F)(F)F)C(F)(F)C(F)F)C(F)(F)F,7.34 
CCOCCOC,4.92 
COCOCOC,5.33 
COCOCN,4.54 
COC(F)OC,6.07 
COCOCF,5.74 
COC(F)(F)OC,6.58 
COCOC(F)F,5.85 
COCOC(F)(F)F,6.05 
COCCOCC(F)(F)F,5.32 
CCOc1ccccc1,4.44 
CCCOc1ccccc1,4.44 
